"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","soil_moisture","elevation"
-35.9149,136.5763,390.1,"D","2020-01-05",448,"D",0,"2020-01-05 04:48:00",NA,NA,NA,1,16,19.1,60,0,0,0.3675,0,63
-13.3817,131.5747,321.3,"D","2020-05-07",436,"D",0,"2020-05-07 04:36:00","Palmerston","Northern Territory",33695,1,28.6,7.7,42,2,0,0.5859,0.253970414400101,80
-32.0375,151.3872,335.3,"D","2020-01-01",335,"D",0,"2020-01-01 03:35:00","Scone","New South Wales",5013,1,25.1,4.1,52,23,0,0.6969,0.0753090083599091,1002
-31.8762,121.52,313.5,"N","2020-01-07",1715,"N",0,"2020-01-07 17:15:00","Boulder","Western Australia",4825,1,26.7,9.5,28,0,0,0.3355,0.0486776195466518,317
-26.5298,151.9701,302.7,"N","2020-08-06",1200,"N",0,"2020-08-06 12:00:00","Kingaroy","Queensland",10020,1,12.9,10.3,98,33,0,0.5755,0.229538068175316,385
-34.8378,150.3489,346.3,"D","2020-01-04",405,"D",0,"2020-01-04 04:05:00","Bomaderry","New South Wales",6661,1,29.7,31.6,37,46,0,0.49965,0.0436126962304115,71
-13.5047,131.9223,371.3,"D","2020-11-02",506,"D",0,"2020-11-02 05:06:00","Palmerston","Northern Territory",33695,1,36,14.6,15,80,0,0.4208,0.0916520804166794,133
-15.5646,129.4536,328.8,"D","2020-03-16",500,"D",0,"2020-03-16 05:00:00",NA,NA,NA,1,32.8,5.1,50,2,0,0.5886,0.243282824754715,255
-17.6129,123.7452,322.1,"D","2020-05-02",555,"D",0,"2020-05-02 05:55:00",NA,NA,NA,1,32.1,14.1,18,2,0,0.4796,0.0943938866257668,54
-37.3701,149.2065,401.1,"D","2020-01-11",410,"D",0,"2020-01-11 04:10:00","Eden","New South Wales",3151,1,14,18.1,69,93,0,0.8058,0.0964410081505775,227
-30.9334,152.5579,304.8,"D","2020-08-13",0,"D",0,"2020-08-13","Nambucca Heads","New South Wales",6327,1,23,4.9,44,11,0,0.6381,0.283488750457764,95
-14.6993,144.9047,329.4,"D","2020-10-01",327,"D",0,"2020-10-01 03:27:00",NA,NA,NA,1,26.5,28.7,53,0,0,0.3194,0.209897935390472,17
-15.1383,144.8274,372.3,"D","2020-11-14",352,"D",0,"2020-11-14 03:52:00",NA,NA,NA,1,27.2,12.3,65,46,0,0.5444,0.0814189091324806,118
-17.2772,144.3346,335.5,"D","2020-11-24",428,"D",0,"2020-11-24 04:28:00","Mareeba","Queensland",8585,1,33.5,6.2,22,18,0,0.3177,0.0871347710490227,338
-24.9504,148.1584,335.2,"D","2020-12-05",407,"D",0,"2020-12-05 04:07:00",NA,NA,NA,1,26.6,7.3,33,3,0,0.5959,0.0555985942482948,1055
-37.0906,149.4489,316.2,"D","2020-01-12",2343,"D",0,"2020-01-12 23:43:00","Eden","New South Wales",3151,1,18.8,16.6,50,0,0,0.6123,0.105787545442581,579
-12.5873,142.2162,338.3,"D","2020-09-22",44,"D",0,"2020-09-22 00:44:00",NA,NA,NA,1,35,21.1,32,1,0,0.4903,0.138306558132172,19
