"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-01-31 08:43:50.807587","Boulder","Western Australia",4825,-30.5234555878221,120.9756112925,"N",0,24.5,19.7,29,0,0,0.1752,408,0.0462195575237274
0,"2020-03-28 08:54:49.765149","Oakdale","New South Wales",1179,-34.0241824045957,150.206686631538,"D",0,15.1,0.5,83,100,0.1,0.6973,574,0.247641116380692
0,"2020-04-02 19:33:23.7004",NA,NA,NA,-30.2814120976069,119.520651390105,"D",0,13.4,14.3,78,98,0,0.3071,475,0.0609873458743095
0,"2020-07-14 10:19:38.027341","Gladstone","Queensland",34703,-24.1210067769003,151.024128635296,"N",0,9.6,4.7,67,0,0,0.4555,97,0.194959327578545
0,"2020-10-02 20:55:06.993856",NA,NA,NA,-25.5278382841097,139.468309586348,"D",0,31,29.6,18,0,0,0.1264,58,0.0453580655157566
0,"2020-12-13 19:07:29.703711",NA,NA,NA,-18.350544500827,129.691913323529,"N",0,25.5,7.5,82,84,0.1,0.2831,424,0.114344894886017
0,"2020-05-27 09:02:56.036148","Leongatha","Victoria",5654,-38.5897972427854,146.179800028418,"D",0,8.9,11.4,96,36,0,0.8433,260,0.355734944343567
0,"2020-05-09 10:32:57.945706",NA,NA,NA,-20.37122994026,123.76353430877,"D",0,23.4,18.3,23,0,0,0.165,284,0.0400058999657631
0,"2020-07-10 21:08:42.199891",NA,NA,NA,-22.0898776318294,119.796866474345,"N",0,12.6,24.3,49,0,0,0.2047,486,0.0996112823486328
0,"2020-06-22 20:42:35.296992",NA,NA,NA,-15.8454265036254,143.978284063047,"N",0,22,3.6,61,0,0,0.6071,319,0.25604048371315
0,"2020-10-02 20:49:46.439105","Boulder","Western Australia",4825,-31.422626893578,121.815478743419,"N",0,10.1,18.8,89,100,0.8,0.3343,307,0.06606075912714
0,"2020-08-29 17:54:44.734867","Margate","Tasmania",2572,-43.5239302947684,146.973142907872,"D",0,11.7,7.4,66,89,0,-0.9999,0,0.208863824605942
