"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity"
26.7151,-80.9717,321.6,"D","2020-08-04",1619,"D",0,"2020-08-04 16:19:00","Harlem","Florida",3050,1,29.5,11.4,71
40.0611,-122.9588,326.9,"D","2020-09-07",1921,"D",0,"2020-09-07 19:21:00","Platina","California",27,1,29.7,17,13
32.667,-80.7062,312.2,"D","2020-01-07",1629,"D",0,"2020-01-07 16:29:00","Sheldon","South Carolina",536,1,15.9,16.6,59
44.7095,-121.6422,406.5,"D","2020-08-26",2038,"D",0,"2020-08-26 20:38:00","Warm Springs","Oregon",2446,1,26.4,4.6,18
34.2717,-118.0023,409.2,"D","2020-09-15",2148,"D",0,"2020-09-15 21:48:00","Monrovia","California",37553,1,28.3,9,16
39.8492,-122.9428,335.2,"D","2020-09-06",2156,"D",0,"2020-09-06 21:56:00","Covelo","California",1495,1,31.9,7.9,15
37.1845,-119.1696,317.1,"N","2020-09-11",932,"N",0,"2020-09-11 09:32:00","Big Creek","California",83,1,6.6,2.7,39
30.7121,-87.4443,321.5,"D","2020-08-07",1824,"D",0,"2020-08-07 18:24:00","Molino","Florida",1607,1,31.1,11.6,60
40.6635,-106.7658,374.8,"D","2020-10-08",2017,"D",0,"2020-10-08 20:17:00","Steamboat Springs","Colorado",13341,1,12.6,17.3,16
33.9882,-116.9391,348.2,"N","2020-08-01",523,"N",0,"2020-08-01 05:23:00","Cherry Valley","California",7302,1,25.3,5.8,30
32.1807,-102.2643,321.4,"D","2020-10-18",1738,"D",0,"2020-10-18 17:38:00","Gardendale","Texas",1520,1,30.3,7.7,10
34.6503,-96.2833,311.5,"D","2020-03-07",2010,"D",0,"2020-03-07 20:10:00","Centrahoma","Oklahoma",86,1,16.6,19.4,32
30.5799,-84.0844,323.1,"D","2020-04-22",1842,"D",0,"2020-04-22 18:42:00","Miccosukee","Florida",407,1,23.5,9.4,48
37.383,-119.0293,322.9,"D","2020-10-26",2143,"D",0,"2020-10-26 21:43:00","Mammoth Lakes","California",7233,1,7.6,11.4,11
39.3899,-108.4528,347.8,"D","2020-08-10",2036,"D",0,"2020-08-10 20:36:00","De Beque","Colorado",466,1,28,18.5,7
40.4097,-122.6172,317.9,"N","2020-09-28",601,"N",0,"2020-09-28 06:01:00","Ono","California",22,1,23.6,10,18
