"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","cloud_cover","temp_C","wind","humidity","precipitation","ndvi","soil_moisture","elevation"
0,"2020-05-10 12:22:24.779006","Biddle","Montana",33,45.0786328072452,-105.535936917252,"D",0,80,4.2,13.7,57,0,0.5055,0.228445708751678,1176
0,"2020-05-24 12:55:56.706341","Crayne","Kentucky",106,37.2880853365173,-88.0070565246567,"D",0,80,28.4,7.9,57,0,0.8002,0.341232120990753,157
0,"2020-12-15 11:56:27.469661","Red Dog Mine","Alaska",0,68.2909735414078,-162.286745196337,"N",0,100,-18.1,10.9,42,0,-0.9999,0.355742394924164,0
0,"2020-05-09 10:11:46.346542","Gratton","Virginia",797,37.0754279423478,-81.3113141471348,"N",0,10,-1.7,20.7,61,0,0.612,0.292449742555618,1208
0,"2020-03-30 12:01:28.805397","Pearlington","Mississippi",989,30.2202491241595,-89.5171204525144,"D",0,58,24.4,15.6,45,0,0.5559,0.441995710134506,1
0,"2020-12-25 03:49:06.526935","Dudleyville","Arizona",458,32.845416999463,-110.903666323807,"N",0,63,5.2,12.8,11,0,0.2466,0.153791025280952,1209
0,"2020-01-04 12:12:37.211853","Manitou","Oklahoma",223,34.5264340811004,-98.9975617669898,"D",0,0,7.1,12.4,52,0,0.3309,0.162785828113556,392
0,"2020-04-06 01:16:28.497648","Rankin","Texas",1189,31.457398008349,-101.893558539764,"N",0,100,15.1,25.5,89,0,0.2627,0.201314449310303,831
0,"2020-07-26 01:16:41.225646","Swan","Iowa",58,41.4708152242859,-93.2666705725638,"N",0,95,27.1,15.1,72,0,0.7915,0.286118388175964,223
0,"2020-01-31 06:57:14.729899","Melvin","Michigan",203,43.2283651908328,-82.8714882090764,"D",0,100,-2.7,4,89,0,0.0508,0.332356840372086,243
0,"2020-02-07 13:37:56.90387","Nara Visa","New Mexico",153,35.6428656527899,-103.181606530938,"N",0,54,3.7,8,53,0,0.1955,0.1504125893116,1340
0,"2020-02-19 08:43:11.841094","Chistochina","Alaska",52,62.5398603244969,-144.558763615511,"D",0,100,-8.9,8.6,72,0.1,0.0701,0.623003005981445,0
0,"2020-01-31 05:41:42.624266","Grayling","Alaska",171,62.8750581757137,-160.606900469196,"N",0,84,-25.7,10.5,69,0,0.2359,0.668749928474426,0
0,"2020-02-01 03:03:31.073242","Arlington","Washington",20599,48.1671551731608,-122.148712139819,"D",0,100,10.1,26.1,94,1.1,0.2147,0.272091746330261,45
0,"2020-01-14 00:50:11.124899","Bergland","Michigan",105,46.5298138232399,-89.5358998819336,"D",0,100,-4.8,18.8,85,0.3,0.3314,0.25120410323143,420
0,"2020-05-16 11:14:04.902122","Riesel","Texas",1337,31.4255614377183,-96.8309608991949,"D",0,100,20,16.9,95,2.3,0.5234,0.245087251067162,134
