"wildfire","datetime","brightness","longitude","latitude","datetime_utc","sza","computed_daynight_sza","nearest_city","state","nearest_city_population","AQI","temp_C","elevation"
0,"2020-09-24 03:50:26.767094",0,133.580563627164,-23.7479730933801,2020-09-23 17:50:26.767094,131.843393150872,"D",NA,NA,NA,66.056166056166,27,435.90869140625
0,"2020-04-20 22:20:19.018653",0,119.827121523307,-22.7667089159534,2020-04-20 12:20:19.018653,126.64663668274,"D",NA,NA,NA,202.25641025641,29.2,48.4394340515137
0,"2020-03-23 04:46:43.045089",0,133.209173863743,-11.9925356671428,2020-03-22 17:46:43.045089,140.650815745355,"D",NA,NA,NA,213.528947368421,29.4,23.2659206390381
0,"2020-12-31 11:39:13.051458",0,142.334087627115,-24.2665193334157,2020-12-31 00:39:13.051458,26.2677182218603,"N",NA,NA,NA,254.011428571429,26.9,102.261215209961
0,"2020-01-23 16:13:23.030625",0,130.642977193607,-29.2257993777217,2020-01-23 05:13:23.030625,25.4255030679033,"N",NA,NA,NA,241.486111111111,17,109.165954589844
0,"2020-09-08 09:14:14.267537",0,143.893856577354,-30.3803401896693,2020-09-07 23:14:14.267537,57.7643656428288,"N",NA,NA,NA,199.221606648199,24.6,316.547058105469
0,"2020-06-18 10:27:01.674547",0,133.881922525722,-21.112710861118,2020-06-18 00:27:01.674547,58.9932294889265,"N",NA,NA,NA,268.113888888889,16.8,93.5204849243164
0,"2020-12-09 12:41:18.590081",0,145.67343630584,-33.8039667438085,2020-12-09 01:41:18.590081,12.6717442591562,"N","Griffith","New South Wales",18196,258.890909090909,20.2,98.8645324707031
0,"2020-10-10 15:43:18.595041",0,124.908686821194,-27.8909988485581,2020-10-10 04:43:18.595041,27.7269122336317,"N",NA,NA,NA,206.016216216216,26.5,652.724243164062
0,"2020-10-10 02:45:21.247709",0,152.781951085479,-28.6721483046687,2020-10-09 15:45:21.247709,133.131738396166,"D","Casino","New South Wales",9968,199.075391180654,21.3,160.026733398438
0,"2020-09-06 06:02:10.710388",0,117.539566506995,-30.9905851937103,2020-09-05 20:02:10.710388,120.390477958074,"D",NA,NA,NA,202.180555555556,19.2,435.90869140625
0,"2020-12-07 12:03:27.489936",0,125.766932629689,-31.237170237717,2020-12-07 01:03:27.489936,33.3639198037999,"N",NA,NA,NA,262.882352941176,14.7,48.4394340515137
0,"2020-06-29 20:56:53.131552",0,146.734980289736,-29.2366030725152,2020-06-29 10:56:53.131552,135.034891194379,"D","Bourke","New South Wales",1535,193.004155124654,13.2,23.2659206390381
0,"2020-08-18 07:09:48.799402",0,116.876247322178,-32.1437803239413,2020-08-17 21:09:48.799402,111.057808334302,"D","Perth","Tasmania",2141834,196.618421052632,10.4,102.261215209961
0,"2020-09-17 15:15:32.38981",0,118.135551968717,-31.6329854091144,2020-09-17 05:15:32.38981,38.0264061279531,"N",NA,NA,NA,245.208108108108,11.2,109.165954589844
0,"2020-10-29 22:26:12.658535",0,117.276786803255,-21.104035010554,2020-10-29 11:26:12.658535,105.454451396328,"D",NA,NA,NA,235.15,25.7,316.547058105469
0,"2020-06-29 08:29:25.568851",0,149.529877091902,-34.832657601029,2020-06-28 22:29:25.568851,77.4638119566695,"N","Yass","New South Wales",5837,195.157894736842,5.6,93.5204849243164
0,"2020-12-01 12:17:27.793711",0,146.153173256347,-32.3109021243499,2020-12-01 01:17:27.793711,14.8746332337694,"N","Cobar","New South Wales",3369,249.126470588235,21.2,98.8645324707031
0,"2020-01-22 08:05:25.579932",0,122.347682812136,-28.3673329050776,2020-01-21 21:05:25.579932,92.3676559621935,"D",NA,NA,NA,246.888888888889,25.8,652.724243164062
0,"2020-11-23 03:47:12.295151",0,133.687740036436,-16.0782847333503,2020-11-22 16:47:12.295151,133.953053271998,"D",NA,NA,NA,244.438235294118,36.9,160.026733398438
0,"2020-04-09 11:30:59.351998",0,127.598286119941,-30.4584217160738,2020-04-09 01:30:59.351998,47.7975042385778,"N",NA,NA,NA,223.569444444444,19.5,435.90869140625
0,"2020-02-03 06:30:18.738509",0,143.682522962594,-32.7435960985788,2020-02-02 19:30:18.738509,94.707267689195,"D",NA,NA,NA,233.918918918919,22.3,48.4394340515137
0,"2020-09-16 21:36:35.142619",0,147.466292280616,-41.0258524335479,2020-09-16 11:36:35.142619,128.960723678073,"D","Legana","Tasmania",4029,260.227027027027,10.1,23.2659206390381
0,"2020-01-24 18:22:16.86276",0,145.240684525221,-36.6697566761618,2020-01-24 07:22:16.86276,64.9646958150896,"N","Tatura","Victoria",4259,248.568571428571,14.8,102.261215209961
0,"2020-03-12 07:27:56.863775",0,120.691700197143,-25.9347924931143,2020-03-11 20:27:56.863775,110.630887945581,"D",NA,NA,NA,216.186111111111,33.5,109.165954589844
0,"2020-02-09 14:16:15.903843",0,121.349345327947,-23.9081086163323,2020-02-09 03:16:15.903843,15.3550546687355,"N",NA,NA,NA,267.975,27.6,316.547058105469
0,"2020-12-01 10:35:46.329213",0,150.247271157219,-29.7501107483012,2020-11-30 23:35:46.329213,30.7949821528664,"N","Moree","New South Wales",7070,240.145714285714,30,93.5204849243164
0,"2020-01-23 01:22:39.208379",0,142.622234910972,-31.8995719842538,2020-01-22 14:22:39.208379,128.117823303627,"D",NA,NA,NA,238.572972972973,33.1,98.8645324707031
0,"2020-09-13 06:49:44.991419",0,135.776075046298,-12.2248647859489,2020-09-12 20:49:44.991419,91.737095099417,"D",NA,NA,NA,272.069444444444,25.7,652.724243164062
0,"2020-03-17 12:38:34.968215",0,148.491009054093,-23.5174072986283,2020-03-17 01:38:34.968215,23.8557403589796,"N",NA,NA,NA,245.578378378378,21,160.026733398438
0,"2020-04-04 08:24:32.1492",0,116.120183427947,-30.4801725576659,2020-04-03 21:24:32.1492,104.608370941992,"D","Perth","Western Australia",3472,230.081081081081,22.9,435.90869140625
0,"2020-05-04 20:12:02.536461",0,134.675558045769,-17.4501026536279,2020-05-04 10:12:02.536461,111.823958580523,"D",NA,NA,NA,310.618378378378,19.9,48.4394340515137
0,"2020-12-14 04:13:12.07443",0,135.809038252498,-17.5535020529081,2020-12-13 17:13:12.07443,126.566579221238,"D",NA,NA,NA,241.054285714286,31,23.2659206390381
0,"2020-06-16 17:49:39.874616",0,115.901665440714,-30.4624167293405,2020-06-16 07:49:39.874616,74.0354791456282,"N","Perth","Western Australia",2141834,210.908823529412,7.8,102.261215209961
0,"2020-04-12 20:05:46.063025",0,145.01285830594,-32.059863589533,2020-04-12 10:05:46.063025,116.745975133018,"D","Cobar","New South Wales",3369,244.524324324324,10.8,109.165954589844
0,"2020-11-07 12:08:04.800729",0,115.437680566591,-30.4747727764667,2020-11-07 01:08:04.800729,42.1627957048715,"N","Perth","Tasmania",2141834,260.270588235294,16,316.547058105469
0,"2020-08-25 09:09:31.75762",0,151.795890540181,-30.8684522866474,2020-08-24 23:09:31.75762,57.6363924999633,"N","Armidale","New South Wales",21312,213.305405405405,2.7,93.5204849243164
0,"2020-11-17 08:59:11.873926",0,140.930960029592,-18.6934151798885,2020-11-16 21:59:11.873926,61.7174234664796,"N",NA,NA,NA,258.473529411765,30.4,98.8645324707031
0,"2020-12-13 03:23:12.433196",0,135.253126043121,-26.6638329704361,2020-12-12 16:23:12.433196,125.688886721073,"D",NA,NA,NA,250.411764705882,35.5,652.724243164062
0,"2020-09-03 20:58:31.134308",0,137.103665888845,-19.2065644885165,2020-09-03 10:58:31.134308,122.384187396308,"D",NA,NA,NA,196.326869806094,23.6,160.026733398438
0,"2020-07-28 17:08:53.381546",0,148.424100588118,-27.7674497007713,2020-07-28 07:08:53.381546,85.3542421954521,"D",NA,NA,NA,199.266165413534,8.7,435.90869140625
0,"2020-12-28 21:47:54.300026",0,124.622033688532,-28.1161710207928,2020-12-28 10:47:54.300026,92.1834386342598,"D",NA,NA,NA,261.769696969697,19.2,48.4394340515137
0,"2020-03-15 04:35:07.84371",0,146.345748451689,-28.8041975556012,2020-03-14 17:35:07.84371,124.74534425904,"D","Bourke","New South Wales",1535,265.963888888889,25.2,23.2659206390381
0,"2020-09-09 10:18:41.470065",0,130.537237900495,-17.2504430073732,2020-09-09 00:18:41.470065,49.223582832266,"N",NA,NA,NA,217.431428571429,24.8,102.261215209961
0,"2020-01-19 20:19:18.976661",0,128.515438497908,-24.4449950450147,2020-01-19 09:19:18.976661,77.8572636359086,"N",NA,NA,NA,246.927027027027,28.8,109.165954589844
0,"2020-09-29 15:34:19.878655",0,126.747021806299,-31.5983482272346,2020-09-29 05:34:19.878655,42.329880151139,"N",NA,NA,NA,39.7380952380952,16.2,316.547058105469
0,"2020-04-29 06:44:09.123229",0,116.984282966272,-31.8419249157293,2020-04-28 20:44:09.123229,115.608711735447,"D","Perth","Tasmania",3472,260.178947368421,14.8,93.5204849243164
0,"2020-07-18 04:15:39.867281",0,138.421842793913,-22.7723826527127,2020-07-17 18:15:39.867281,133.202401198484,"D",NA,NA,NA,196.934210526316,22.8,98.8645324707031
0,"2020-02-15 19:43:03.366442",0,131.775564285447,-24.7889567470703,2020-02-15 08:43:03.366442,74.6458971209312,"N",NA,NA,NA,243.172222222222,31.5,652.724243164062
0,"2020-03-08 19:36:37.747167",0,136.208049346371,-19.3135531609753,2020-03-08 08:36:37.747167,81.3837846350519,"N",NA,NA,NA,261.302857142857,24.5,160.026733398438
0,"2020-03-30 23:49:46.895617",0,150.604476104082,-28.3942023364619,2020-03-30 12:49:46.895617,150.044679031146,"D","Moree","New South Wales",7070,211.964864864865,20.3,435.90869140625
0,"2020-11-13 01:55:38.789705",0,148.285201224733,-23.5264836641887,2020-11-12 14:55:38.789705,135.783384784492,"D",NA,NA,NA,248.105714285714,33.5,48.4394340515137
0,"2020-02-09 21:28:19.944446",0,134.931534609741,-15.8540472943033,2020-02-09 10:28:19.944446,102.838855482109,"D",NA,NA,NA,260.851351351351,28.1,23.2659206390381
0,"2020-02-23 14:05:45.71365",0,152.784334276962,-31.2353369238634,2020-02-23 03:05:45.71365,25.6022564747412,"N","Wauchope","New South Wales",6312,245.580555555556,17.6,102.261215209961
0,"2020-10-12 15:28:55.813645",0,139.994392809437,-37.0708749494253,2020-10-12 04:28:55.813645,40.5457973443919,"N","Millicent","South Australia",4760,219.147222222222,12.4,109.165954589844
0,"2020-07-10 07:46:01.602657",0,120.428670369155,-26.1366361066106,2020-07-09 21:46:01.602657,103.433753491591,"D",NA,NA,NA,201,13.4,316.547058105469
0,"2020-04-05 04:22:44.628337",0,126.440958336926,-29.1071470391657,2020-04-04 18:22:44.628337,134.710283595263,"D",NA,NA,NA,226.048648648649,24.8,93.5204849243164
0,"2020-12-25 03:01:14.355965",0,128.445589481983,-25.2278915270899,2020-12-24 16:01:14.355965,130.642084260903,"D",NA,NA,NA,277.869696969697,34.7,98.8645324707031
0,"2020-11-23 08:53:33.467303",0,130.789332887949,-31.2545688744462,2020-11-22 21:53:33.467303,69.3159346833984,"N",NA,NA,NA,265.827272727273,15.8,652.724243164062
0,"2020-05-09 15:37:38.788597",0,119.389536882854,-28.9555862801504,2020-05-09 05:37:38.788597,52.0689058012392,"N",NA,NA,NA,286.963888888889,13.4,160.026733398438
0,"2020-01-05 04:03:55.806568",0,131.921495219115,-28.9960568792842,2020-01-04 17:03:55.806568,122.256907201069,"D",NA,NA,NA,230.988571428571,17.3,435.90869140625
0,"2020-04-24 12:28:48.811584",0,149.72429710696,-29.1597721724311,2020-04-24 02:28:48.811584,42.6041767672929,"N","Moree","New South Wales",7070,205.631578947368,15.1,48.4394340515137
0,"2020-10-12 14:20:01.073001",0,130.916893547673,-21.1494177442002,2020-10-12 03:20:01.073001,14.3154645786718,"N",NA,NA,NA,219.177777777778,23.5,23.2659206390381
0,"2020-02-28 12:17:49.686743",0,132.390385012611,-20.9798790329166,2020-02-28 01:17:49.686743,32.8766261051338,"N",NA,NA,NA,235.233333333333,28.4,102.261215209961
0,"2020-09-11 05:51:52.945684",0,119.238154630615,-33.9838058632695,2020-09-10 19:51:52.945684,119.005358386443,"D",NA,NA,NA,234.974285714286,12.8,109.165954589844
0,"2020-07-06 19:51:54.649982",0,132.076515855126,-15.9636621627831,2020-07-06 09:51:54.649982,103.927051403684,"D",NA,NA,NA,199.33918128655,18,316.547058105469
0,"2020-12-22 15:17:16.599888",0,132.843969390202,-19.8956222964548,2020-12-22 04:17:16.599888,16.5480912291466,"N",NA,NA,NA,268.35,20.2,93.5204849243164
0,"2020-04-13 00:20:42.376628",0,137.96013016038,-20.9659563624138,2020-04-12 14:20:42.376628,166.059944607116,"D",NA,NA,NA,219.462162162162,32.5,98.8645324707031
0,"2020-10-22 13:50:31.609357",0,141.682405537827,-37.5201878446064,2020-10-22 02:50:31.609357,27.43681582013,"N","Mount Gambier","South Australia",25591,258.738235294118,12.6,652.724243164062
0,"2020-07-24 22:59:09.314956",0,147.782334052374,-26.5580263360323,2020-07-24 12:59:09.314956,161.12908120768,"D",NA,NA,NA,195.486486486486,11.6,160.026733398438
0,"2020-11-08 11:18:44.860183",0,131.471725735101,-27.7616340356732,2020-11-08 00:18:44.860183,38.4335914564499,"N",NA,NA,NA,252.579411764706,26.4,435.90869140625
0,"2020-09-11 21:00:04.05322",0,151.546945181183,-28.7131081327933,2020-09-11 11:00:04.05322,132.808494704255,"D","Glen Innes","New South Wales",5184,238.797222222222,8.9,48.4394340515137
0,"2020-03-13 23:35:01.64977",0,114.727809655675,-22.8498362283214,2020-03-13 12:35:01.64977,117.08046829673,"D",NA,NA,NA,262.434285714286,25.1,23.2659206390381
0,"2020-07-04 16:35:02.398613",0,129.546917028203,-15.5295174405723,2020-07-04 06:35:02.398613,59.9623596774422,"N",NA,NA,NA,213.626470588235,21.9,102.261215209961
0,"2020-06-15 17:20:04.101488",0,148.794636530783,-24.6121069763975,2020-06-15 07:20:04.101488,89.9637009448027,"D",NA,NA,NA,281.656756756757,11.2,109.165954589844
0,"2020-02-04 18:25:34.43106",0,141.256404657791,-35.1243428140063,2020-02-04 07:25:34.43106,63.6795388199528,"N","Loxton","South Australia",3947,271.064864864865,16,316.547058105469
0,"2020-04-13 12:29:13.023768",0,132.508647153759,-14.6004333452281,2020-04-13 02:29:13.023768,25.828211952787,"N",NA,NA,NA,232.65,24.5,93.5204849243164
0,"2020-01-02 22:49:37.787533",0,133.675133776183,-16.6818137077982,2020-01-02 11:49:37.787533,117.07817090242,"D",NA,NA,NA,250.269444444444,32.2,98.8645324707031
0,"2020-11-11 11:50:55.351177",0,144.085285217678,-19.4086865753729,2020-11-11 00:50:55.351177,18.4267755577541,"N",NA,NA,NA,255.462857142857,19.7,652.724243164062
0,"2020-09-21 15:39:56.264026",0,129.233849255584,-20.7196002503573,2020-09-21 05:39:56.264026,41.0258624518236,"N",NA,NA,NA,223.151428571429,24.7,160.026733398438
0,"2020-04-03 13:17:55.678107",0,137.934939642714,-29.0077415940275,2020-04-03 02:17:55.678107,35.2912337326403,"N",NA,NA,NA,250.191428571429,18.1,435.90869140625
0,"2020-12-22 12:13:12.390796",0,126.372508248322,-18.3456834766353,2020-12-22 01:13:12.390796,33.0727441941867,"N",NA,NA,NA,269.671875,21.8,48.4394340515137
0,"2020-10-11 17:15:49.807949",0,128.325322225412,-29.2061525465042,2020-10-11 06:15:49.807949,48.1112729710704,"N",NA,NA,NA,220.8,22.4,23.2659206390381
0,"2020-03-02 23:02:45.913336",0,133.693447801911,-20.2817773206889,2020-03-02 12:02:45.913336,124.811424262969,"D",NA,NA,NA,232.27027027027,24.8,102.261215209961
0,"2020-04-20 17:26:13.081029",0,134.896521973328,-24.7516359343557,2020-04-20 07:26:13.081029,74.3737526120668,"N",NA,NA,NA,210.773684210526,24.8,109.165954589844
0,"2020-09-04 17:14:56.871618",0,131.614012627391,-16.6409808922158,2020-09-04 07:14:56.871618,64.3239816709406,"N",NA,NA,NA,266.881081081081,28.5,316.547058105469
0,"2020-02-14 18:55:48.41274",0,130.294389923049,-31.1928662735888,2020-02-14 07:55:48.41274,62.3893410783994,"N",NA,NA,NA,250.383333333333,19,93.5204849243164
0,"2020-08-16 02:38:56.929108",0,117.922498507379,-33.7971734914653,2020-08-15 16:38:56.929108,159.232130068296,"D",NA,NA,NA,200.134285714286,11.6,98.8645324707031
0,"2020-02-26 14:54:53.211026",0,116.00537264174,-30.9189109191083,2020-02-26 03:54:53.211026,23.3039960517347,"N","Perth","Western Australia",3472,257.342857142857,23.5,652.724243164062
0,"2020-05-11 10:23:36.795627",0,130.920743005101,-26.5544450084089,2020-05-11 00:23:36.795627,60.5534268888534,"N",NA,NA,NA,263.394444444444,10.3,160.026733398438
0,"2020-12-07 15:31:39.870861",0,118.223605998424,-30.9381525958925,2020-12-07 04:31:39.870861,11.0522626745914,"N",NA,NA,NA,260.644117647059,24.1,435.90869140625
0,"2020-11-11 17:33:01.080586",0,136.656290602419,-20.9661505292701,2020-11-11 06:33:01.080586,55.3076552011147,"N",NA,NA,NA,255.761764705882,32,48.4394340515137
