"wildfire","brightness","type","datetime","longitude","latitude","sza","computed_daynight_sza","nearest_city","nearest_city_population","state","datetime.1","hour_utc","datetime_utc","lat_bin","lon_bin","elevation","temp_C","AQI"
1,322.3,0,"2020-05-25 04:23:00",132.0586,-13.3035,133.23093943913,"D","Palmerston",33695,"Northern Territory","2020-05-25 04:00:00","2020-05-24 18:23:00","2020-05-24 18:00:00",-13.3,132.1,84.5515594482422,27.5,255.592105263158
1,334.7,0,"2020-09-28 04:35:00",144.8664,-14.7878,112.834763011156,"D",NA,NA,NA,"2020-09-28 04:00:00","2020-09-27 18:35:00","2020-09-27 18:00:00",-14.8,144.9,57.469841003418,24.2,54.7483380816714
1,321.8,0,"2020-11-29 04:48:00",129.8719,-14.2316,127.184255919914,"D",NA,NA,NA,"2020-11-29 04:00:00","2020-11-28 17:48:00","2020-11-28 17:00:00",-14.2,129.9,5.51577234268188,30.6,233.013888888889
1,312.4,0,"2020-12-05 13:34:00",142.3151,-18.5066,4.80507894157356,"N",NA,NA,NA,"2020-12-05 13:00:00","2020-12-05 02:34:00","2020-12-05 02:00:00",-18.5,142.3,124.037223815918,29.6,259.145714285714
1,340.1,0,"2020-10-09 04:17:00",142.8045,-12.4682,131.509286641324,"D",NA,NA,NA,"2020-10-09 04:00:00","2020-10-08 17:17:00","2020-10-08 17:00:00",-12.5,142.8,134.486862182617,27.4,210.016216216216
1,330.7,0,"2020-07-31 04:55:00",132.8987,-11.654,126.717976636585,"D",NA,NA,NA,"2020-07-31 04:00:00","2020-07-30 18:55:00","2020-07-30 18:00:00",-11.7,132.9,23.9117908477783,24.2,265.069444444444
1,325.7,0,"2020-05-01 05:12:00",125.8196,-16.6717,127.799826057956,"D",NA,NA,NA,"2020-05-01 05:00:00","2020-04-30 19:12:00","2020-04-30 19:00:00",-16.7,125.8,573.440734863281,30.1,258.152631578947
1,335.8,0,"2020-03-26 05:33:00",115.9431,-31.5232,137.448348790592,"D","Perth",3472,"Western Australia","2020-03-26 05:00:00","2020-03-25 18:33:00","2020-03-25 18:00:00",-31.5,115.9,59.3778114318848,31.2,239.327777777778
1,326.2,0,"2020-05-06 05:30:00",122.3805,-19.1563,127.226216860057,"D",NA,NA,NA,"2020-05-06 05:00:00","2020-05-05 19:30:00","2020-05-05 19:00:00",-19.2,122.4,124.553153991699,34.5,257.156756756757
1,323.7,0,"2020-06-04 05:00:00",130.3323,-13.693,126.659566687341,"D","Darwin",139902,"Northern Territory","2020-06-04 05:00:00","2020-06-03 19:00:00","2020-06-03 19:00:00",-13.7,130.3,14.7074489593506,26.2,255.526315789474
1,343.1,0,"2020-11-18 00:40:00",145.5381,-20.7118,139.784697065318,"D","Charters Towers",8040,"Queensland","2020-11-18","2020-11-17 13:40:00","2020-11-17 13:00:00",-20.7,145.5,394.510009765625,34.9,241.591428571429
1,320.3,0,"2020-01-30 15:44:00",149.1079,-37.1903,37.4702959067003,"N","Eden",3151,"New South Wales","2020-01-30 15:00:00","2020-01-30 04:44:00","2020-01-30 04:00:00",-37.2,149.1,687.456115722656,18.9,227.628947368421
1,362.4,0,"2020-10-28 04:47:00",137.2279,-16.1243,124.422885700598,"D",NA,NA,NA,"2020-10-28 04:00:00","2020-10-27 17:47:00","2020-10-27 17:00:00",-16.1,137.2,10.1758298873901,28.2,251.727777777778
1,426.1,0,"2020-01-29 01:21:00",124.3407,-32.9388,123.935157093634,"D",NA,NA,NA,"2020-01-29 01:00:00","2020-01-28 14:21:00","2020-01-28 14:00:00",-32.9,124.3,14.3351469039917,27.9,240.127777777778
1,336.2,0,"2020-11-11 04:56:00",130.1431,-29.0337,117.76038435762,"D",NA,NA,NA,"2020-11-11 04:00:00","2020-11-10 17:56:00","2020-11-10 17:00:00",-29,130.1,237.244598388672,27.7,252.66
1,480.2,0,"2020-01-04 04:04:00",147.1528,-37.2303,108.096413719099,"D","Maffra",4548,"Victoria","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-37.2,147.2,922.523254394531,16.4,255.231428571429
1,331.9,0,"2020-10-31 05:18:00",133.2194,-12.976,122.143654599215,"D",NA,NA,NA,"2020-10-31 05:00:00","2020-10-30 18:18:00","2020-10-30 18:00:00",-13,133.2,312.384155273438,34.8,214.527777777778
1,355.5,0,"2020-10-05 04:42:00",132.7214,-11.7962,136.112357380277,"D",NA,NA,NA,"2020-10-05 04:00:00","2020-10-04 17:42:00","2020-10-04 17:00:00",-11.8,132.7,14.7470436096191,28.8,225.513888888889
1,320.4,0,"2020-04-24 05:06:00",133.1393,-13.7735,121.801779868188,"D",NA,NA,NA,"2020-04-24 05:00:00","2020-04-23 19:06:00","2020-04-23 19:00:00",-13.8,133.1,280.709075927734,31,199.205128205128
1,332.6,0,"2020-08-03 05:25:00",129.9818,-13.5899,122.723986640664,"D","Darwin",139902,"Northern Territory","2020-08-03 05:00:00","2020-08-02 19:25:00","2020-08-02 19:00:00",-13.6,130,6,25.3,257.513888888889
1,330.2,0,"2020-06-09 05:18:00",130.5877,-14.597,122.779839722322,"D",NA,NA,NA,"2020-06-09 05:00:00","2020-06-08 19:18:00","2020-06-08 19:00:00",-14.6,130.6,175.936187744141,26.5,266.684210526316
1,309.6,0,"2020-01-12 00:38:00",146.8825,-36.8864,120.374099677904,"D","Mansfield",3999,"Victoria","2020-01-12","2020-01-11 13:38:00","2020-01-11 13:00:00",-36.9,146.9,472.889556884766,25.6,247.041666666667
1,347.9,0,"2020-07-22 05:00:00",134.8685,-13.6454,124.267701313165,"D",NA,NA,NA,"2020-07-22 05:00:00","2020-07-21 19:00:00","2020-07-21 19:00:00",-13.6,134.9,106.554100036621,25,197.964912280702
1,334.7,0,"2020-09-04 05:25:00",132.3672,-11.4273,117.136324501814,"D","Palmerston",33695,"Northern Territory","2020-09-04 05:00:00","2020-09-03 19:25:00","2020-09-03 19:00:00",-11.4,132.4,19.1146049499512,26.9,195.91135734072
1,324.5,0,"2020-10-29 03:49:00",148.7303,-23.7146,122.574844166481,"D",NA,NA,NA,"2020-10-29 03:00:00","2020-10-28 16:49:00","2020-10-28 16:00:00",-23.7,148.7,307.691223144531,24.8,241.644444444444
1,314.2,0,"2020-12-20 12:51:00",145.4902,-18.6325,7.55376350104642,"N","Innisfail",1091,"Queensland","2020-12-20 12:00:00","2020-12-20 01:51:00","2020-12-20 01:00:00",-18.6,145.5,626.466979980469,21.1,252.315151515151
